17:02:07.419 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.redis.service.impl.ProductServiceImplTest], using SpringBootContextLoader
17:02:13.889 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:02:13.901 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:07:40.558 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.redis.service.impl.ProductServiceImplTest], using SpringBootContextLoader
17:07:40.569 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.redis.service.impl.ProductServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:07:40.570 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.redis.service.impl.ProductServiceImplTest]: ProductServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:07:40.696 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.redis.DemoRedisApplication for test class com.redis.service.impl.ProductServiceImplTest
17:07:40.808 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:07:40.826 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4a8ab068, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1922e6d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@76a82f33, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6bab2585, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@74bdc168, org.springframework.test.context.support.DirtiesContextTestExecutionListener@644c78d4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@532a02d9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@611f8234, org.springframework.test.context.event.EventPublishingTestExecutionListener@7bb3a9fe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7cbee484, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7f811d00, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@62923ee6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4089713, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@f19c9d2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7807ac2c]
17:07:41.192 [main] INFO  c.r.s.impl.ProductServiceImplTest - Starting ProductServiceImplTest using Java 11.0.15 on sontt1 with PID 16720 (started by sontt1 in D:\Example\allDemoGithub\demoRedis)
17:07:41.193 [main] INFO  c.r.s.impl.ProductServiceImplTest - No active profile set, falling back to 1 default profile: "default"
17:07:41.840 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:07:41.842 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:07:41.870 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.redis.repository.ProductRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
17:07:41.870 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
17:07:41.882 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:07:41.882 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:07:42.114 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 225 ms. Found 1 Redis repository interfaces.
17:07:42.806 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:07:42.855 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
17:07:43.025 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:07:43.666 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:07:43.815 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:07:43.838 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
17:07:44.017 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:07:44.024 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:07:44.344 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:07:46.447 [main] INFO  c.r.s.impl.ProductServiceImplTest - Started ProductServiceImplTest in 5.559 seconds (JVM running for 6.814)
17:07:46.742 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd START with request Product(token=null, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=null, UpdateDate=null)
17:08:20.466 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd END with response Product(token=e11da7fd-f57d-44fe-ad82-6b56a900eef8, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=2022-07-01 17:07:46.757, UpdateDate=null)
17:08:36.334 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:08:36.336 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:08:36.344 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:15:24.902 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.redis.service.impl.ProductServiceImplTest], using SpringBootContextLoader
17:15:24.910 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.redis.service.impl.ProductServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:15:24.911 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.redis.service.impl.ProductServiceImplTest]: ProductServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:15:25.040 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.redis.DemoRedisApplication for test class com.redis.service.impl.ProductServiceImplTest
17:15:25.136 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:15:25.154 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@4a8ab068, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@1922e6d, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@76a82f33, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@6bab2585, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@74bdc168, org.springframework.test.context.support.DirtiesContextTestExecutionListener@644c78d4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@532a02d9, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@611f8234, org.springframework.test.context.event.EventPublishingTestExecutionListener@7bb3a9fe, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@7cbee484, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@7f811d00, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@62923ee6, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@4089713, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@f19c9d2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@7807ac2c]
17:15:25.595 [main] INFO  c.r.s.impl.ProductServiceImplTest - Starting ProductServiceImplTest using Java 11.0.15 on sontt1 with PID 2204 (started by sontt1 in D:\Example\allDemoGithub\demoRedis)
17:15:25.596 [main] INFO  c.r.s.impl.ProductServiceImplTest - No active profile set, falling back to 1 default profile: "default"
17:15:26.266 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:15:26.268 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:15:26.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.redis.repository.ProductRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
17:15:26.294 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 19 ms. Found 0 JPA repository interfaces.
17:15:26.304 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:15:26.305 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:15:26.502 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 190 ms. Found 1 Redis repository interfaces.
17:15:27.194 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:15:27.242 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
17:15:27.409 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:15:28.069 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:15:28.218 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:15:28.246 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
17:15:28.451 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:15:28.460 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:15:28.854 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:15:31.109 [main] INFO  c.r.s.impl.ProductServiceImplTest - Started ProductServiceImplTest in 5.883 seconds (JVM running for 7.176)
17:15:31.508 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd START with request Product(token=null, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=null, UpdateDate=null)
17:15:42.754 [main] INFO  c.r.service.impl.ProductServiceImpl - ProductServiceImpl saveProd END with response Product(token=629367fc-1b22-4739-8ee4-857cbc2cf7be, transactionNo=1110, name=Iphone 10, qty=1, price=12333.0, CreatedDate=2022-07-01 17:15:31.521, UpdateDate=null)
17:15:46.351 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:15:46.353 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
17:15:46.361 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
17:36:49.206 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.redis.service.impl.ProductServiceImplTest], using SpringBootContextLoader
17:36:49.212 [main] INFO  o.s.t.c.s.AbstractContextLoader - Could not detect default resource locations for test class [com.redis.service.impl.ProductServiceImplTest]: no resource found for suffixes {-context.xml, Context.groovy}.
17:36:49.212 [main] INFO  o.s.t.c.s.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.redis.service.impl.ProductServiceImplTest]: ProductServiceImplTest does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
17:36:49.316 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.redis.DemoRedisApplication for test class com.redis.service.impl.ProductServiceImplTest
17:36:49.410 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.event.ApplicationEventsTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
17:36:49.442 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@33617539, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@2c177f9e, org.springframework.test.context.event.ApplicationEventsTestExecutionListener@5db4c359, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@209775a9, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@18e7143f, org.springframework.test.context.support.DirtiesContextTestExecutionListener@f9b7332, org.springframework.test.context.transaction.TransactionalTestExecutionListener@74cec793, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@6fefce9e, org.springframework.test.context.event.EventPublishingTestExecutionListener@4f8969b0, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@1bdf8190, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@192f2f27, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@8a589a2, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@c65a5ef, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@6b5176f2, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@b672aa8]
17:36:49.871 [main] INFO  c.r.s.impl.ProductServiceImplTest - Starting ProductServiceImplTest using Java 11.0.15 on sontt1 with PID 13308 (started by sontt1 in D:\Example\allDemoGithub\demoRedis)
17:36:49.872 [main] INFO  c.r.s.impl.ProductServiceImplTest - No active profile set, falling back to 1 default profile: "default"
17:36:50.502 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:36:50.504 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
17:36:50.533 [main] INFO  o.s.d.r.c.RepositoryConfigurationExtensionSupport - Spring Data JPA - Could not safely identify store assignment for repository candidate interface com.redis.repository.ProductRepository. If you want this repository to be a JPA repository, consider annotating your entities with one of these annotations: javax.persistence.Entity, javax.persistence.MappedSuperclass (preferred), or consider extending one of the following types with your repository: org.springframework.data.jpa.repository.JpaRepository.
17:36:50.534 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 22 ms. Found 0 JPA repository interfaces.
17:36:50.545 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
17:36:50.546 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
17:36:50.742 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 189 ms. Found 1 Redis repository interfaces.
17:36:51.313 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
17:36:51.360 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 5.6.9.Final
17:36:51.514 [main] INFO  o.h.annotations.common.Version - HCANN000001: Hibernate Commons Annotations {5.1.2.Final}
17:36:52.109 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
17:36:52.257 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
17:36:52.283 [main] INFO  org.hibernate.dialect.Dialect - HHH000400: Using dialect: org.hibernate.dialect.MySQL55Dialect
17:36:52.448 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
17:36:52.454 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
17:36:52.725 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
17:36:54.604 [main] INFO  c.r.s.impl.ProductServiceImplTest - Started ProductServiceImplTest in 5.097 seconds (JVM running for 6.169)
17:36:54.967 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
17:36:54.969 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
